category,description
Household,"BDMP Mop Rod Stick Stainless Steel with Plate and Microfiber Mop Stick & 1 Mop Head Mop 360° Rotate S.S Rod Pocha Features: EASY TO ASSEMBLE With a handle-twist , this replacement pole handle is perfect mop for you that come in three easy to assemble parts. PUSH & PULL FUNCTION Uses a built in Hand-Press Pump-Action Spring Mechanism. For non-pedal buckets - loosen the handle to spin the mop & then tighten the handle to start wiping your floors. COMPACT FOR STORAGE With its release and locking system, this product can be shortened for space saving and easy storage around your home. Branded mop rod made of stainless steel, only rod with mop fibre."
Household,"Ab Home Decor Velvet Touch Chenille big size carpet for living room Hall Bedroom Floor Drawing Room Study Room 6 feet (width) x 9 feet (length),Maroon Color Name:Maroon   Liven up your Home With This Attractive and  beautiful Big Size Carpets. This Big size Carpet is of 6feet ( width) x 9 feet (length) and it will look gorgeous on your Floor , living room , bedroom or where ever you want to place it and thus it will give a hint of style to your decor. This Carpet is of Chenille Fabric.. Easy To Maintain and Handle.. AB Home Decor is the one Stop Shop for Home Furnishing.. Brand has a lot in Store For You.."
Household,"Philips Hue Lightstrip Base 2 mtr (White and Color), Compatible with Amazon Alexa, Apple HomeKit and The Google Assistant Style:Hue Lightstrip Base 2 mts   Single pack includes one lightstrip. Requires a hue starter kit or compatible bridge for dimming and smart control."
Household,"Casa Decor Designed Crackle Pumpin Ceramic Cupboard Cabinet Door Knobs Drawer Pulls & Hardware Ceramic Knobs For Cabinets & Cupboards -Pulls-Pack Of 6 Our unique knobs collection can be used for updating the furniture or refurbishing a kitchen cabinet. This knobs are mostly hand painted. We offer pantone color variations, prints & transfers and bespoke paint patterns. We have showcased a small selection of the knobs that have been done in the past. These ceramic are knobs are glazed & baked to specific temperatures to experience truer colors. They are produced in various shapes & sizing with vibrant color patterns.So, buy knobs online today and give a perfect look to your furniture."
Household,"AmazonBasics 16-Piece Dinnerware Set, Round - White An Amazon Brand."
Household,TOOLSMART Brass Mini Portable 100 mm/inch Vernier Caliper Double Scale Brass caliper of 100 mm to measure thickness and length. This comes in 10 mm.
Household,"Kent Instant Egg Boiler 360-Watt (Transparent and Silver Grey) KENT Egg Boiler KENT Egg Boiler is an all new appliance with a flat heating plate which helps in boiling eggs faster. The device is ideal for your homes, hostels as well as hotel rooms. The egg boiler is an ideal appliance to fulfil your nutritional needs. 3 Boiling Modes - Best Electric Egg Boiler in India 3 Boiling Modes The advanced appliance from KENT allows you to boil eggs in 3 different modes - hard, medium and soft. All you need to do is add appropriate quantity of water and turn on the machine. Simple and easy to use Egg Boiler in India Automatic Operation KENT Egg Boiler is easy to operate. All you need to do is put the eggs in the appliance, add appropriate quantity of water and select the desired mode. The machine will turn off automatically when the eggs are boiled. Easy and Quick Operation Best Egg Boiler Easy and Quick Operation KENT Egg boiler comes with a one-touch operation which makes it easy to operate the appliance without any hassles. Stainless Steel Egg Boiler Online Stainless Steel Body and Heating Plate KENT Egg Boiler comes with a stainless steel body and heating plate which help in boiling eggs faster. Overheating Protection Egg Boiler Overheating Protection The appliance comes with advanced safety features such as automatic power off and overheating protection for the convenience of the users. TECHNICAL SPECIFICATIONS Model Name KENT EGG Boiler Model Number 16020 Net Weight 1.65 kg Body Material Stainless Steel Product Dimensions (mm) 115 (L) X 115 (W) X 125 (H) Maximum Capacity 7 Eggs Power 360 W Input Power Supply Single phase 220 V AC, 50 Hz Brohures and Manuals : KENT Egg Boiler Manual."
Household,"Tiny Deal Flexible Battery Powered Super Bright LED Clip-on Clamp Style Reading Book Night Light Lamp FLD-8925 Product FeaturesThe most versatile light in a new high-tech finish that's easy to grip and perfectly complements all your digital toolsDesigned for attachment to your Kindle book coverPerfect for stylish reading in bed, travel, study, etcFully articulated neck that can be aimed wherever you need lightHigh power LED bulb without frequency change, good to protect your eyesLong work life, low power consumptionPowered by 2 pieces of CR2032 cell button batteries (included) which can last 20 hoursOn / Off Switch, easy to operateColor Black with Silver as shown in the pictureNet Weight 35gWhole Lenngth 320mmLamp Cap Size (Length x Width x Thickness) 50 x 25 x 10 mmProduct SpecificationsPackage Contents1 x Clip-on LED Reading Light"
Household,"EnviroCare 1/2 Case (25 Pkgs) Eureka Sanitaire Ultra/Electrolux Z Upright Vacuum Cleaner Bags Designed to fit original manufacture OEM numbers 52339, 52339A, E52339, 52339-12, 45055, and 302927. Will fit these models and more: Eureka 7400, 7500, 7534A, 7575, 7522B, 7528B, 7529A, 7545A, 7575D, 7577B, 7577D, 7534A; Sears Ultra Z; some models of Sanitaire. Traps and seals in 99.7% of dust mites, pollens, ragweed, mold spurs, microscopic particles, bacteria, dust mites, germs as small as 0.1 micron, other allergy causing agents, and 99.9% of pet dander. A must for allergy sufferers!"
Household,"Lovely Arts Collection Hand Embroidered Cotton Thread Skeins for Craft Projects, Multicolour (Pack of 25) -LAC97 Package includes 25 skeins, two each of 12 colors. Each skein is 8 yards long. This quality embroidery floss can be used in a multitude of craft projects, including needlecraft, friendship bracelets, stringing beads, and more. Non-toxic."
Household,"Oxo Good Grips Silicone Flexible Pancake Turner Color Name:Black                                                                                 |                            Style:Silicone Turner   The Oxo Good Grips Silicone Flexible Turners combine the strength of stainless steel with the advantages of silicone. The silicone outer layer, which is heat resistant to 600 degrees fahrenheit and safe for non-stick cookware, is bonded to a flexible stainless steel core for added stability. The turners have thin, flexible edges that glide easily beneath all foods and are perfect for flipping fragile foods while keeping them intact. The pancake turner is generous in size and easily flips pancakes, burgers and more. All silicone flexible turners have soft, comfortable, non-slip Grips and are the perfect companions to non-stick cookware and bakeware."
Household,"Bluewud Osnale Coffee Table (Wenge, Rectangular) BLUEWUD osnale coffee / center table (Wenge, Rectangular).Osnale coffee table has a rustic and natural style, it provides plenty of space for your decorating needs. Its engineered wood make a statement in your living space"
Household,"All Time Frosty Plastic Bathroom Stool - 26.4 cm x 26.4 cm x 21.3 cm, Green Color Name:Green   Our bathroom stool are ergonomically designed with a rounded edge surface to ensure comfort and a sturdy body to ensure stability."
Household,"Milton Thermosteel Flask with Plain Lid, 1 Litre,Stainless Steel Versatile Liquid Storage and Carrying Solution Get yourself the Milton Thermosteel flask with plain lid and carry your favourite beverages along wherever you go. This flask, constructed from stainless steel, comes with an inner and outer steel lining that helps keep hot and cold beverages as is, for up to 24 hours. Whether you want to carry hot coffee or chilled iced tea to the office or for your day outings, this flask can come to your rescue every time. Its smooth, polished finish also lends a stylish look, so you can flaunt it in front of your friends and colleagues. Lid Doubles Up as a Drinking Cup Unique and useful, the lid of the Milton Thermosteel flask is hollow. You can use it as a cup when you can’t find an alternative and place it back when not needed. The lid comes with a vacuum liner, which secures it in place, keeping the liquids safe inside. Carry the 1000 ml flask easily in your backpack or suitcase since it is leak proof. Its 1000 ml capacity means that you can store large amounts of beverages at once and keep taking sips directly from the flask every time you need a break. But, be sure to place the lid back if you want your coffee or iced tea to remain intact. Rust-Proof to Assure Long Life Pick the Milton Thermosteel flask for your regular office use since the stainless steel construction ensures rust-resistance and a long life. It is also sturdy and easy to maintain. Simply rinse with soap and water and use repeatedly without any worries."
Household,"PACKNBUY Drinking Glass Beer Water Juice UPSIDE down Bottle The Bottoms Up Beer Glass Is A Different Way To Enjoy A Beer.  This Durable Glass Has Been Crafted To Look Just Like It'S Housing An Upside Down Beer Bottle. When The Beer Is Flowing At A Party You'Re Bound To Get Some Puzzled Looks As You Enjoy A Cold One From This Glass. Complete With A Double Glass Wall, It'Ll Keep Your Beer Colder For Longer And Your Hands Won'T Turn Your Beer Warm. This Unique Beer Glass Features An Inverted Beer Bottle Shape Inside The Standard Tulip Shape Outer Glass! With A Healthy 360Ml Capacity, The Hopside Down Will Easily Hold A Standard Beer Bottle, Which Makes It The Perfect Companion To Your Lad'S Pad, Or A Sunday Afternoon Enjoy Your Drink In Style With This Uniquely Designed Glass. Featuring A Regular Beer Glass Shape Outer For Holding With An Upside Down Bottle Shaped Inner For Containing Your Chosen Drink, This Novelty Glass Is Sure To Be A Talking Point At Any Celebration. Even Better, This Handy Glass Is Double Walled To Ensure That Your Drink Stays Cool For Longer Without Your Hands Turning Your Beer Warm. If You Can&Rsquo;T Choose Between Drinking From A Bottle Or A Glass, Don&Rsquo;T. The Upside Downbottle Beer Glass Gives The Appearance That You&Rsquo;Re Drinking A Beer Out Of An Upside Down Bottle&Hellip; Which Is Really Going To Confuse Your Drink Friends From Across The Bar. Bottoms Up !! Or Straight Down... This Beer Glass Is A Uniquely Designed Alternative To Your Boring Pot-Glass."
Household,Varshine Boom Table Chair Set for Growing Kids || Study Table || 2 to 6 Years Old Kids || F-62 Sturdy and stylish table which can be used for studying. The strong body frame also makes it durable and long-lasting. You can also enjoy your dinner in this comfortable table. This table looks appealing and can be used for various purposes
Household,"Sunflame Shakti Stainless Steel 2 Burner Gas Stove, Silver Style:Stainless Steel 2 Burner Gas Stove, Silver   Modernize your kitchen space with the contemporary Sunflame 2 burner-Shakti gas cooktop. Embracing a stylish design along with advanced features, this excellent cooktop by Sunflame eases your everyday cooking efficiently. It holds an ISI certification and features a 2 burner setup for a smart and safe cooking experience. The Sunflame cooktop comes in a stainless steel mirror finish body to make your kitchen space look for appealing. You can easily place this compact cooktop over your kitchen counter without taking much of space. The brass alloy burners of the cooktop ensure even heat distribution for an excellent cooking at low gas consumption. You can easily clean the Sunflame cooktop with a damp cloth to maintain 100 percent clean and hygienic cooking. The Sunflame cooktop not ensures fast and efficient cooking but also helps you to save on your gas. Relish the joy of cooking with Sunflame and prepare your favorite dishes easily in less time."
Household,"iNinja Tools Black Swiss Army Knive(18 In 1 Multipurpose ) Wallet Ninja Is The Cool, Smart And Compact Credit Card Size Multi-Tool With The Power Of 18 Reliable Functional, Everyday Tools, Which Fits In Your Wallet. This Tool Is So Sexy And Very Powerful That You Will Experience Once You Hold It In Your Hand. Make Wallet Ninja Part Of Your Pocket, School/Office Bag And Travelling Bag. Features World'S First 100% Flat Credit Card Size Multi-Tool. Tsa-Approved For Carry On During Flights. Made From 4X Heat Treated Steel. 4 Screwdrivers (Phillips, Flat Head, Eye Glass) 8 Convenient Everyday Tools(Bottle, Can &Amp; Letter Opener, Box Cutter,Inch &Amp; Cm Ruler,Cell Phone Stand) List Of Multi Tools 1. Inch Ruler 2. Screwdriver 3. Bottle Opener 4. Can Opener 5. Peeler 6. Screwdriver 7. #2 Hex 8. #6 Hex 9. #10 Hex 10. #12 Hex 11. #8 Hex 12. #4 Hex 13. Screwdriver 14.Cellphone Stand 15. Box Opener 16. Letter Opener 17. Eyeglass Screwdriver 18. Cm Ruler"
Household,"HOKIPO PVC Dining Table Kitchen Placemats (Metallic Browish Grey, 45 x 30 cm) - 6 Pieces Color Name:Metallic Browish Grey   #productDescription .aplus-3p {width: 970px} .aplus-3p ul {overflow: hidden;} .aplus-3p ul li {list-style-position: inside;} #productDescription .aplus-3p table {border-collapse: collapse !important; width: 100% !important} #productDescription .aplus-3p .one-col {width: 100%; margin-bottom: 1em} #productDescription .aplus-3p .one-col .image-wrapper {margin-bottom: 1em} #productDescription .aplus-3p .leftImage {margin-bottom: 0} #productDescription .aplus-3p .leftImage.image-wrapper {max-width: 300px;} #productDescription .aplus-3p .image-wrapper img {max-width: none;} .aplus-3p .image-wrapper {display: inline-block; text-align: center} #productDescription .aplus-3p .image-caption {font-size: 0.9em; margin-top: 5px} #productDescription .aplus-3p table tr {vertical-align: top;} .apcs-eventhirdcol {width:300px; display:block;} .apcs-eventhirdcol-table {width: 100%; border-collapse: separate;} .apcs-eventhirdcol-table th {text-align: center; vertical-align: top;} .apcs-eventhirdcol-table tr td {vertical-align: top;} .apcs-eventhirdcol-table tr td:first-child {padding-right: 17px;} .apcs-eventhirdcol-table tr td:first-child + td {padding: 0 17px;} .apcs-eventhirdcol-table tr td:first-child + td + td {padding-left: 17px;}"
Household,Hosley Unscented Tealights Set of 50 Avoid any missed opportunity to show off the beautiful candle holders in your home by keeping our pack of 50 high-quality and long lasting Unscented Tealights on hand for any occasion.
Household,"China Maid Nylon Mesh Laundry Bag, 20 Litres Segregate Your Dirty Clothes. Instead of every member of your family leaving their dirty clothes lying around haphazardly, you can place a laundry bag in the bathroom for them to use. That way you won't have to go around the house hunting for clothes to throw in the washing machine and you will have the whole lot readily available. Made of a nylon mesh, this laundry bag is breathable. This nylon mesh laundry bag is also easy to wash and keep clean, so that it doesn't start smelling like the sweaty gym socks it contains."
Household,"E10 Star Water Heater Instant Hot Faucet Kitchen Electric Stainless Steel Tap , Large, Silver 3000W Instant Electric Water Heater Instant Hot Faucet Kitchen Electric Tap Water Heating Instantaneous Water Heater Kitchen LED Digital Display Fast Heating Electric Water Heater Faucet Taps Description: ABS engineering plastics, high temperature resistant, soft and strong, not easy to burst, high shape stability, strong anti-stamping, UV radiation, so that the product is not easy to aging, security is more durable and lasting Built-in high sensitivity sensor probe, which can be real-time detection of temperature, the display will real-time display the current temperature. Features: Product Name: LED Digital Display fast electric faucet The main material: H59A level environmental refined copper + ABS engineering plastics The inlet way: under the influent Surface treatment: multiple plating Spool: Diamond level Ceramic spool Heating tube: high-purity copper liner heating element Rated voltage: 220V/50HZ Rated Power: 3000W Working pressure :0.04-0 .5 MPA Waterproof grade: 1PX4 Diameter: General diameter The water way:Under water Cord Length: about 1.5 m How to install : Check if Meter air switch and socket meet requirement of current, if ground wire really connect to the underground Cautions: 1. ground wire much connect to the earth , otherwise leakage happens possibly 2.socket have to be fixed on the place away from water 3.The tap should be installed by technical person, do as pic below. When you connect inlet of Electric tap to running water pipe and screw interface up, plz do not use power too much, avoid that tap is destroyed, forbid you install them placing upside down. Electric tap should be kept communication with air, outlet of tap can not be blocked up by anything."
Household,Amaze (9' Tiltable Umbrella with 22 L. Capacity Hollow Plastic Stand) Garden Farm House Beach Camping Sunshade Patio Umbrella-(9') - Wine RED Push-open umbrella only after holding pipe and shaking a little to allow its fabric flapes widen to avoid bending of spokes. Every umbrella has a definite capacity to resist wind pressure.
Household,Nilkamal Vibe Computer Table (Beech) Nilkamal Vibe Computer Table (Beech)
Household,"KNOWTEQ Plastic Head Push Thumb Pins for Notice Board with A Reusable Storage Box (Multicolour) 100 Pieces Brand : Knowteq  Product Type :Push pin/Thumb pin (100pcs) Color : Transparent Multicolored  Product Details :  ✔High Quality Material used available in attractive colors for Home ,Office & Schools.  ✔Perfect for hanging documents on bulletin boards and combo boards. Each push pin is 1"" in size. 30 pack includes clear, blue, red and green color assortment.  ✔Decorative Multi-Colored Push Pins for Home & Office, Six Colors for Different Projects in Reusable Organizing Container.  SHARP TIP :Office Style Pushpins are equipped with a specially designed thick tip & sharp end, making them easy to use on all kinds of cork and cloth boards, as well as walls. The bright colored push pins make them more noticeable and less boring than standard ones. Features for this Product : MULTIPURPOSE : Its portable compartment make it great for office work, school work, art projects, vision boards, & all kinds of visual projects that may need color-coded organization. ✔The push pins are made from durable plastic and stainless steel with sharp tips.We assure you that you will love our product and you will be 100% satisfied with our product, because for us our consumers satisfaction is everything our business is dependent on you all so why to cheat with the one on whom our everything is dependent that’s why we provide what we describe and show and trust us we will never let your trust down. Contact us without any hesitation if you find any type of quarry or problem related to our product we will love to help you."
Household,"IKARUS Stainless Steel Lid Ash Tray Break-resistant and burn-resistant ash tray having and sits nicely and presentably when placed. The ash tray is with a lid.ash tray, matte, 9x9x3.5 cm hygenic and 100% virgin material."
Household,"HomeStrap 12 Piece Microfiber Fridge Bags, White Homestrap vegetable organiser bags helps to keep refrigerators neat, organised and helps avoid fridge spills. These vegetable bags are double layered to make it more durable and long lasting. They are easy to clean and are ideal storage solution for any kitchen cabinet, fridge or pantry. Mesh fabric of the bag allows the fruits and vegetables to breathe naturally thus increasing their life."
Household,"Florea Pink Salt 300 GMS Florea pink salt is rich in over 84 minerals such as Magnesium, Calcium, Potassium, Copper & Iron. Florea pink rock salt is well known for its amazing health benefits. It re-mineralizes the body with minerals essential to your health and well-being. Sprinkle a bit of Florea pink rock salt to your everyday food and live healthy and stress-free!"
Household,AmazonBasics Double-T Hand Towel and Accessories Stand - Black
Household,"Kurtzy Cotton 60L Foldable Laundry Basket, Multicolour Color Name:Multi   This Kurtzy Luxury Laundry Basket is made of highest quality material that makes it durable for long period of time. It is sturdy, strong, easy to clean and washable with a unique textured design. It can be used in a store room, bedroom, beauty parlors, spas, bathroom or toy room. This basket is integrated with handles that allow for comfortable lifting and transporting. This luxury laundry basket is the perfect solution for organizing your dirty clothes at a single place and for convenient laundry."
Household,KANNERT 1pcs Noodle Cutter Lattice Roller Cutter Stainless Steel Pasta Spaghetti Maker Machines & Attachments Cooking Tools 1pcs Noodle Cutter Lattice Roller Cutter Stainless Steel Pasta Spaghetti Maker Machines & Attachments Cooking Tools
Household,"TNL Opera Long Body Nose Quarter Turn Brass Bib Cock C.P Fittings Bib Tap Bathroom Tap Washing Tap Kitchen Sink Tap(Chrome Finish) Color name:Mirror   TNL Bathing Style's Products are Made from Pure Brass, And with High Quality Quarter Turn Brass Ceramic Cartridge, Mirror Finish Chrome Plating Finish, With 7 years Warranty on product, So…Choose TNL To Give Touch Of Class And Elegance To Your Bathroom By Installing The Amazing Range Of Bathroom Faucets & Bathroom Accessories. For TNL is enough to prove its quality in your Bathroom."
Household,"Bulfyss Electronic Kitchen Digital Weighing Scale (10 Kg) - White Bulfyss Digital Kitchen Weigh Scale   Healthy diet is an essential part of everyday life, do you want to join the ranks of healthy eating? Or are you worry about how to choose a digital kitchen scale? Please pay attention to this digital kitchen scales, it will be your best choice. This is a professional scale designed for kitchen, mail room or even your workshop. It has a large round washable tray for routine cleaning. It ensures accurate weighing even in high humidity areas as its splash-proof design.   Product Descriptions:  1. It is made of high quality material, durable enough for your daily using 2. Beautiful appearance, special surface treatment 3. Carefully design, excellent for use 4. Wide LCD screen display, easy to read 5. Tare function 6. Low power consumption 7. Automatically lock the reading when data is stable   Product Details:  1. Condition: New 2. Max weight: 10000g/ 353oz 3. Min weight: 1g/ 0.0353oz 4. Units: g,oz 5. Accuracy Resolution: 1g, 0.1oz 6. Material：ABS 7. Color: White 8. Display: LCD 9. Auto Power off: Yes 10. Dimensions: (9.65x 6.7 x1.38)in/ (24.5 x 17 x 3.5)cm (L x W x H) 11. Weighing Platform Diameter: 5.79in/ 14.7cm 12. Weight: 419 g / 14.78 oz   Package Includes:  1 x Kitchen Scale 2 x 1.5V AA Batteries"
Household,"Family Plastics Baby Clothes Plastic Hanger for Kids/Children's Wardrobe Dress Hangers, Standard(Sky Blue)- Pack of 12 Baby clothes hanger set of 12 packet for the best experience of hanging kids clothes from the age of 0 to 5. The perfect size dimension and slim profile gives you the best experience in managing children clothes with out any hustle."
Household,"FABEYA Arabica Coffee Body Scrub and Polish - No Parabens - 340 ml Pack of 1 FABEYA Arabia Coffee Body Scrub and Polish - No Parabens - 340 ml Pack of 1 Free From Paraben, . Active ingredient: Arabica Coffee Powder and Walnut Shell."
Household,"Decals Design 'Tulips Bouquet' Wall Sticker (PVC Vinyl, 50 cm x 70 cm, Multicolour) Ideal for family lounge, bedroom, cafe and restaurant, kids room, nursery room etc. PVC, non-toxic and waterproof. These wall stickers decorate your home just in minutes. Easy installation the surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. Simply peel those pre-cut pieces of wall stickers off from the backing paper and apply them to the desired area. Refer to the finished design shown in between the sheet and follow the numbers mentioned on the pieces to form the desired pattern. Freshly painted or lacquered surfaces must be allowed to completely cure for minimum 30 days before the decal is applied. After pasting the wall stickers on your wall, press firmly along the border and remove air bubbles if any. Repeat, if required. Do not apply on wet walls. It will be helpful and fun if you take help of your friends or family members."
Household,"Foldable Car Umbrella Holder Storage Hanging Bag Organizer For Vehicle Household Multifunctional Foldable Umbrella Organizer Holder Car Umbrella Storage Bag Waterproof Umbrella Cover.Can put 1-3 Umbrella ,long umbrella,Folding umbrella can be adjusted according to length."
Household,"Vertis Borosilicate Rectangular Baking Dish, 1 Litre Vertis introduces rectangular baking dishes for the exclusive you-the healthy connoisseur. Ideally designed for baking your favorite cakes, dhoklas, lasagnas and pastas, you can take them directly from the oven to the dining table. Use them for dry storage, refrigeration, microwave reheating or serving; the versatile functionality goes hand in hand with the unmatched elegant looks."
Household,"ALTON ALT2035 1.5 Meter, Stainless Steel Flexible Shower Hose Pipe (Chrome)"
Household,"Electomania 1 Set 4 Sizes Round Circle Hat Knitter Knitting Knit Loom Craft Kit With this knitting looms set, you can knit with a loom and a hook, create that you like, such as scarf, hat and so on... A great easy, funny, fantastic useful tool set for you  Good quality and new condition Come with 4 sizes, meet different needs  Comes complete with yarn needle and soft grip loom pick.  Color: Random 4 colors  Material: ABS Plastic  Size (Outer Dia.)13.5cm / 5.3""; 18.5cm/ 7.3""; 23.5cm/ 9.3""; 28.5cm/ 11.2""  Package Includes: 4x Circular knitting looms. 1x Yarn needle 1x Soft Grip Pick 1x User Manual"
Household,Forzza Zoey Laptop Table (White) Color:White   Ergonomically designed foldable laptop table is made with 12mm MDF with melamine. The legs are made in white powder coated metal. This table is easily foldable. It is ideal to place your laptop and work while in bed or on your couch. It could also be used for placing your cup of coffee. It is easily stackable and can be easily wiped with a damp cloth. This well finished product will be a good investment. Available at unbelievable prices.
Household,British Vogue - June 2016 - Centenary Issue 
Household,"Groeien 3-Lights Round Cluster Chandelier Black Diamond Hanging Pendant Light with Braided Cord.(ST64 Filament Bulb Included) Illuminate your dining room or living room with this striking cluster pendant features three graduated Cube shaped lights suspended from a round plate on black-finished rods artfully displayed at different heights. Rich, rustic, and unmistakably stylish, this gorgeous 3-light hanging fixture marries brilliant character with impeccable taste. The lights hang at separate lengths supported from an antique black iron base. Fits E27 Edison Vintage bulbs (Bulbs not included), 1 meter Hard Wired Corded Electric, 220-240v, 60-watt Maximum Power. Perfect for House, Bedroom, Living Room, Dining Room, Foyers, Bar, Restaurants, Coffee Shop, Club Decoration"
Household,"Plantex Heavy Gi Metal Universal Microwave Oven Fix Stand for Kitchen Platform - Floor (Up to 30L) Enclosure Material:Metal                                                                                 |                            Size:Regular   Made From High Grade Gi Metal With 6 Layered Powder Coated Process..Universal & Fit With All Sizes Of Domestic Microwave Ovens To All Leading Brands (Up To 30 L)..Rust & Corrosion Free. Superior Quality And Sturdy Performance..You Can Easily Clean Your Kitchen Platform After Putting Microwave On The Stand..""Planet India"" Is The Only Authorized Seller Of ""Planet, Plantex & Keepwell"" Branded Products. Buyers Are Advised Not To Buy From Any Other Unauthorized Fraud Sellers Who Have Tagged Their Offers On Our Product Page & Are Supplying Fake, Substandard & Poor Quality Products."
Household,"Tied Ribbons 20 Meter Clothes Line Strong PVC Coated Clothesline Steel Anti-Rust Metal Wire Rope for Cloth Drying Innovative technology: innovative technology ensures a rust free washed clothes hanging. Strong and sturdy: strong and sturdy ensures the clothe hanging rope do not come off keeping your clothes safe and secure. Ideal tool: an ideal tool to use anytime anywhere as per your own usage and for hanging clothes. Premium material: super strong, durable and rust resistant material plastic, steel, length 20 metres comes with plastic slides for tying the rope. 2 Plastic clips comes with rope: 2 plastic clips to knot the rope, little bit weak without tie an knot so better you can put knot to the hole. Durability: with these innovative material this product is made from inner stainless steel followed by a thick coating of plastic to ensure zero-rust quality in the moist humid environment as well as durability. About tied ribbonsandreg;: at tied ribbons, the country's premier online source for home decor, we pride ourselves on attention to detail by traveling directly to the source. Over 90 percent of our offerings are exclusive to the design tied ribbons brand, allowing us to present distinctive decorative items unavailable elsewhere. Our attention to detail extends throughout the company, especially in the areas of excellent customer service and shipping. Tied ribbons offers specialty home and garden dÃcor, utility furniture and accessories, indoor and outdoor statuary, and one-of-a-kind home and garden accents. For more than 25 years, tied ribbons has introduced exclusive sculptures, furniture, statues, wall art, and decorative furnishings to passionate consumers eager to surround themselves with unique and extraordinary objects. We have over 6, 000 items available to make your homes beautiful, so you can expect the unexpected"
Household,"Bhagya Cast Iron Cookware Skillet Frying Pan - 10 inches Traditional Cookware Go back to your roots, Get on to a healthy life style with Cast Iron Cookware   Practical Design  Every Product of ours has been designed for practical day to day use. We pay a lot of attention to its dimensions and weight. If it’s too light it would be easy to handle but then its heat retention would also be very less and food would get burnt soon. If it’s too heavy it would become difficult to handle and take longer to get heated initially. With all this in mind we strike the right balance in design and we call it Practical Design.   Seasoning your Dosa Tawa The biggest mind-blocker of using a Cast Iron cookware is seasoning it. That's why we have already seasoned it for you. This Product is ready to use. However it is quite natural that will need to re-season again it over time. To help you do it, we have Video Tutorials in our Website (URL available in Product Booklet) And more importantly, we never use any Chemicals in seasoning. It is 100% natural and done with Gingely Oil and that too it’s Organic Gingely Oil.  Natural way to Increase your Iron Intake Boost your Iron Intake, in every meal you make. It is no Secret that cooking in cast iron increases the iron content of the food. The Iron we have in our body and that protects us from anemia is the same iron that is in Iron Cookware, just that the % of iron in our body is extremely small and cooking in Cast Iron Cookware gives a constant healthy supply of iron to our body.  Manufactured with Care This Cast Iron Cookware is manufactured by Babu Engineering Foundry in Coimbatore, TamilNadu, India. A Cast Iron Foundry with over 35+ years of tradition and heritage."
Household,"Casa Decor Spider Web Handmade Ceramic Kitchen Cabinet Drawer Pulls Knobs (Black) Pack of 6 Our unique knobs collection can be used for updating the furniture or refurbishing a kitchen cabinet. This knobs are mostly hand painted. We offer pantone color variations, prints & transfers and bespoke paint patterns. We have showcased a small selection of the knobs that have been done in the past. These ceramic are knobs are glazed & baked to specific temperatures to experience truer colors. They are produced in various shapes & sizing with vibrant color patterns.So, buy knobs online today and give a perfect look to your furniture."
Household,"Palio CJ8000 BIOTECH (H36-38, 2-Side Loop Type) Pips-in Table Tennis (Ping Pong) Rubber with Sponge (Black, 1.8mm)"
Household,"Pureus Collapsible Shoe Rack (4 Shelves) Black Colour This unique space saving Pair Shoe Rack provides a great way for you to organize and store your footwear collection without taking up a lot of floor space in your room or closet. With its 4 spacious shelves, you can neatly store up to 12 pairs of your favorite shoes with or without shoe boxes. Made from a sturdy polymer plastic frame and strong pvc Pipes shelves, this shoe rack will provide a reliable, long lasting shoe storage solution for your home. This shoe storage option allows you to keep your shoes organized and all together. Its extra strong base ensures that your shoe rack receives the best possible support, even on carpeted surfaces! The easy to assemble rack snaps together within seconds, ready for use."
Household,"Borosil Carry Fresh Stainless Steel Insulated Lunch Box Set, 3-Piece, Blue Borosil carry fresh range brings double walled insulated stainless steel lunch box that keeps the food warm and fresh for hours."
Household,"Discount4product Modern 10 Strings Acrylic String Curtain - 4ft, Multicolour Enclosure Material:Plastic drops at the bottom                                                                                 |                            Size:10 Strings   The strings will come with nylon strap fasteners to fasten each string with the rod. The package includes 10strings of 16mm crystal beads with drop size 30mm and 20 nylon strap fasteners. Note - actual curtain will consist of 10 strings only, the presented image is only to reveal you the idea and style of the curtain. How to assemble: These 10strings will come with the number (mentioned on each string), you only have to arrange them sequence wise as 1, 2, 3 to 10. To have the image like curtain arrange the strings according to numbers mentioned on the strings."
Household,"Philips HD9303/02 1.2-Litre Electric Kettle (Multicolor) Product Description The body of the new Philips electric kettle uses food-grade standard stainless steel, providing rapid water boiling with peace of mind. 				    	 					 From the Manufacturer    Safe and easy boilingFood-grade stainless steel.The body of the new Philips electric kettle uses food-grade standard stainless steel, providing rapid water boiling with peace of mind! Safe to useSteam sensor, dry boiling and overheating prevention Safe boiling with food-grade SUS304 body Easy to useEasy opening and filling Cord winder for easy storage Polished stainless steel finish for easy cleaning Wide opening for easy filling and cleaning 360° cordless pirouette base, for easier handling   Highlights   Triple protectionSteam sensor, dry boiling and overheating preventionEasy opening and fillingEasy opening and filling   Cord winderPower cable length adjustable as required for easy storage   Wide openingEasy filling and cleaningPolished stainless steelPolished stainless steel finish for easy cleaning   360° cordless pirouette baseEasier handlingPolished stainless steel bodyFood-grade stainless steel"
